# iteration=3
name,phase,scene,value,rcost
demand_fail_1_1_1_14,1,0,0,950
demand_load_1_1_1_15,1,0,100,0
demand_fail_1_1_1_15,1,0,0,950
demand_load_1_1_1_16,1,0,100,0
demand_fail_1_1_1_16,1,0,0,950
demand_load_1_1_1_17,1,0,100,0
demand_fail_1_1_1_17,1,0,0,950
demand_load_1_1_1_18,1,0,100,0
demand_fail_1_1_1_18,1,0,0,950
demand_load_1_1_1_19,1,0,100,0
demand_fail_1_1_1_19,1,0,0,950
demand_load_1_1_1_20,1,0,100,0
demand_fail_1_1_1_20,1,0,0,950
demand_load_1_1_1_21,1,0,100,0
demand_fail_1_1_1_21,1,0,0,950
demand_load_1_1_1_22,1,0,100,0
demand_fail_1_1_1_22,1,0,0,950
demand_load_1_1_1_23,1,0,100,0
demand_fail_1_1_1_23,1,0,0,950
demand_load_1_1_1_24,1,0,100,0
demand_fail_1_1_1_24,1,0,0,950
generator_generation_1_1_1_1,1,0,25,0
generator_generation_1_1_1_2,1,0,25,0
generator_generation_1_1_1_3,1,0,0,0
generator_generation_1_1_1_4,1,0,0,0
generator_generation_1_1_1_5,1,0,0,0
generator_generation_1_1_1_6,1,0,0,0
