"scenario","stage","block","uid:1"
1,1,1,0
1,1,2,30.789473684210513
1,1,3,24.63157894736841
1,1,4,18.473684210526308
1,1,5,12.315789473684205
1,1,6,6.157894736842103
1,1,7,6.157894736842103
1,1,8,0
1,1,9,12.315789473684205
1,1,10,6.157894736842103
1,1,11,0
1,1,12,0
1,1,13,12.73684210526315
1,1,14,30.789473684210513
1,1,15,30.789473684210513
1,1,16,24.63157894736841
1,1,17,30.789473684210513
1,1,18,30.789473684210513
1,1,19,24.63157894736841
1,1,20,18.473684210526308
1,1,21,12.315789473684205
1,1,22,6.157894736842103
1,1,23,0
1,1,24,0
