# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,1,sddp_fcut_0_50_0_0,1.30351e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,2,sddp_fcut_1_50_0_0,1.12572e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,4,sddp_fcut_3_50_0_0,2.08979e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,12,sddp_fcut_11_50_0_0,3.75654e+11,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,3,sddp_fcut_2_50_0_0,2.18708e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,10,sddp_fcut_9_50_0_0,2.39862e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,7,sddp_fcut_6_50_0_0,2.27987e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,11,sddp_fcut_10_50_0_0,1.66282e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,15,sddp_fcut_14_50_0_0,2.49474e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,9,sddp_fcut_8_50_0_0,4.95996e+08,54874:-0,54905:-0,54936:-9e+06,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,14,sddp_fcut_13_50_0_0,1.37596e+09,54874:-0,54905:432.148,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,6,sddp_fcut_5_50_0_0,1.4579e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,50,13,sddp_fcut_12_50_0_0,1.31068e+09,54874:-0,54905:-0,54936:-9e+06,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_0_49=1000
o,49,15,sddp_fcut_14_49_0_1,8.47388e+12,54874:-0,54905:-0,54936:-0,54967:-0,54998:-84810.5,55029:-0,55091:-0,55122:-0,sddp_alpha_0_48=1000
o,49,4,sddp_ecut_3_49_0_1,2.13137e+09,54874:14094.3,54905:461.702,54936:4359.68,54967:2370.41,54998:0.18307,55029:744.689,55091:3349.91,55122:1693.9,sddp_alpha_0_48=1000
o,49,11,sddp_ecut_10_49_0_1,1.70437e+09,54874:14089.1,54905:1.86461,54936:4354.99,54967:2365.84,54998:0.182978,55029:744.649,55091:3349.73,55122:1693.83,sddp_alpha_0_48=1000
o,48,15,sddp_fcut_14_48_0_2,1.35406e+08,54874:-0,54905:-0,54936:-0,54967:-0,54998:-85208.3,55029:-0,55091:-0,55122:-0,sddp_alpha_0_47=1000
o,49,3,sddp_ecut_2_49_0_1,2.22894e+09,54874:14503.2,54905:9218.15,54936:4543.43,54967:2521.25,54998:0.185197,55029:755.331,55091:3461.63,55122:1780.4,sddp_alpha_0_48=1000
o,49,10,sddp_ecut_9_49_0_1,2.44126e+09,54874:15025.5,54905:9579.02,54936:4712.21,54967:2618.22,54998:7288.52,55029:782.071,55091:3569.12,55122:1827.28,sddp_alpha_0_48=1000
