# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,1,sddp_fcut_0_50_1_0,2.0909e+09,28054:-0,28085:-0,28116:-0,28147:-0,28178:-0,28209:-0,28271:-0,28302:-0,sddp_alpha_0_49=1000
o,49,1,sddp_ecut_0_49_1_1,2.73171e+09,28054:215363,28085:30.3289,28116:65101.8,28147:34845.6,28178:2.95365,28209:10878.6,28271:46710.1,28302:20907.4,sddp_alpha_0_48=1000
o,48,1,sddp_ecut_0_48_1_2,3.38412e+09,28054:215363,28085:63.4085,28116:64492.7,28147:34845.6,28178:7.7797,28209:10878.6,28271:46710.1,28302:21426.8,sddp_alpha_0_47=1000
o,47,1,sddp_ecut_0_47_1_3,4.00063e+09,28054:215363,28085:84.8773,28116:64768,28147:34845.6,28178:10.4927,28209:10878.6,28271:46710.1,28302:21192,sddp_alpha_0_46=1000
o,46,1,sddp_ecut_0_46_1_4,4.55717e+09,28054:215363,28085:99.4088,28116:34845.6,28147:34845.6,28178:13.3748,28209:10878.6,28271:46710.1,28302:20907.4,sddp_alpha_0_45=1000
o,45,1,sddp_ecut_0_45_1_5,5.18787e+09,28054:215363,28085:113643,28116:65049.2,28147:34845.6,28178:16.4929,28209:10878.6,28271:46629,28302:20871,sddp_alpha_0_44=1000
o,44,1,sddp_ecut_0_44_1_6,5.83761e+09,28054:215363,28085:143481,28116:62816.2,28147:34845.6,28178:19.3346,28209:10056.8,28271:43181.6,28302:19328,sddp_alpha_0_43=1000
o,43,1,sddp_ecut_0_43_1_7,6.57476e+09,28054:215363,28085:143477,28116:62816.2,28147:34845.6,28178:22.299,28209:10056.8,28271:43181.6,28302:19328,sddp_alpha_0_42=1000
o,42,1,sddp_ecut_0_42_1_8,7.41218e+09,28004:215363,28035:143457,28066:63710,28097:34845.6,28128:27.1192,28159:10378.2,28221:44561.5,28252:19945.6,sddp_alpha_0_41=1000
o,41,1,sddp_ecut_0_41_1_9,8.28162e+09,28004:215363,28035:152359,28066:65101.8,28097:34845.6,28128:32.3194,28159:10878.6,28221:46710.1,28252:20907.4,sddp_alpha_0_40=1000
o,40,1,sddp_ecut_0_40_1_10,9.17905e+09,28004:221646,28035:156804,28066:67001.1,28097:35862.2,28128:41.1691,28159:11196,28221:48072.9,28252:21517.3,sddp_alpha_0_39=1000
o,39,1,sddp_ecut_0_39_1_11,9.97586e+09,28004:226073,28035:159932,28066:68339.4,28097:36578.5,28128:44.8177,28159:11419.6,28221:49033.1,28252:21947.1,sddp_alpha_0_38=1000
o,38,1,sddp_ecut_0_38_1_12,1.07647e+10,28004:233834,28035:159903,28066:70685.3,28097:37834.2,28128:48.6959,28159:11811.6,28221:50716.2,28252:22700.5,sddp_alpha_0_37=1000
o,37,1,sddp_ecut_0_37_1_13,1.14212e+10,28004:233834,28035:159876,28066:70685.3,28097:37834.2,28128:52.0547,28159:11811.6,28221:50716.2,28252:22700.5,sddp_alpha_0_36=1000
o,36,1,sddp_ecut_0_36_1_14,1.2129e+10,28004:233834,28035:159845,28066:70616,28097:37834.2,28128:57.853,28159:11811.6,28221:50716.2,28252:22759.6,sddp_alpha_0_35=1000
o,35,1,sddp_ecut_0_35_1_15,1.28449e+10,28004:233834,28035:159811,28066:69241.3,28097:37834.2,28128:62.0631,28159:11811.6,28221:50716.2,28252:23931.9,sddp_alpha_0_34=1000
o,34,1,sddp_ecut_0_34_1_16,1.34941e+10,28004:233834,28035:159771,28066:37834.2,28097:37834.2,28128:65.1755,28159:11811.6,28221:50716.2,28252:22700.5,sddp_alpha_0_33=1000
o,33,1,sddp_ecut_0_33_1_17,1.41782e+10,28004:233834,28035:159716,28066:5556.1,28097:5556.1,28128:68.1737,28159:10975,28221:47124,28252:21092.6,sddp_alpha_0_32=1000
o,32,1,sddp_ecut_0_32_1_18,1.49385e+10,28004:233834,28035:159670,28066:35709.3,28097:5556.1,28128:71.1901,28159:10841.6,28221:46551.1,28252:20836.2,sddp_alpha_0_31=1000
o,31,1,sddp_ecut_0_31_1_19,1.57928e+10,28004:233834,28035:159627,28066:36126.7,28097:5556.1,28128:74.8213,28159:10991.7,28221:46551.1,28252:20836.2,sddp_alpha_0_30=1000
o,30,1,sddp_ecut_0_30_1_20,1.6738e+10,28004:233834,28035:159592,28066:36281.3,28097:5556.1,28128:79.9607,28159:11047.3,28221:47434.2,28252:21231.4,sddp_alpha_0_29=1000
o,29,1,sddp_ecut_0_29_1_21,1.77175e+10,28004:233834,28035:159561,28066:37874.8,28097:5556.1,28128:82.2487,28159:11620.2,28221:49894.2,28252:22332.6,sddp_alpha_0_28=1000
o,28,1,sddp_ecut_0_28_1_22,1.87523e+10,28004:233834,28035:134017,28066:38630.9,28097:5556.1,28128:90.7851,28159:11892.1,28221:51061.5,28252:22855,sddp_alpha_0_27=1000
o,27,1,sddp_ecut_0_27_1_23,1.96793e+10,28004:234944,28035:32271.3,28066:70685.3,28097:37834.2,28128:92.3808,28159:11892.1,28221:51252.3,28252:23045.8,sddp_alpha_0_26=1000
o,26,1,sddp_fcut_0_26_1_24,9.72736e+08,28004:187061,28035:7.4116,28066:32517.2,28097:32517.2,28128:6.03446,28159:11188.7,28221:48041.5,28252:21503.3,sddp_alpha_0_25=1000
o,25,1,sddp_fcut_0_25_1_25,8.9853e+08,28004:279745,28035:30.3609,28066:84563.8,28097:45262.6,28128:6.3701,28159:14130.8,28221:60674,28252:27157.6,sddp_alpha_0_24=1000
o,24,1,sddp_fcut_0_24_1_26,9.23656e+08,27974:69773.4,28005:-259.901,28036:31278.4,28067:31278.4,28098:4.04794,28129:10762.5,28191:46211.3,28222:20684.1,sddp_alpha_0_23=1000
o,23,1,sddp_fcut_0_23_1_27,8.86555e+08,27964:-0,27995:-264.793,28026:-0,28057:-0,28088:1.69441,28119:10085.5,28181:39447.3,28212:17656.5,sddp_alpha_0_22=1000
o,22,1,sddp_fcut_0_22_1_28,2.26348e+08,27964:-0,27995:-266.948,28026:-0,28057:-0,28088:0.128749,28119:10080.5,28181:-0,28212:0.00787816,sddp_alpha_0_21=1000
o,21,1,sddp_fcut_0_21_1_29,1.98773e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.116069,28119:10097.6,28181:-0,28212:-0,sddp_alpha_0_20=1000
o,20,1,sddp_fcut_0_20_1_30,2.25854e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.0877833,28119:10097.6,28181:-0,28212:0.00457205,sddp_alpha_0_19=1000
